单词/短语,中文释义,原文例句,词性,话题分类,难度等级
"get the hang of","掌握窍门","It took me a while to get the hang of using this app.","phrasal verb","Daily Life","B2"
"come across","偶然遇到","I came across this amazing cafe while walking downtown.","phrasal verb","Daily Life","B1"
"hit the road","出发/上路","We should hit the road early to avoid traffic.","idiom","Travel","B2"
"grab a bite","随便吃点东西","Want to grab a bite before the movie?","idiom","Food","B1"
"play it by ear","见机行事","I'm not sure what time we'll finish, let's just play it by ear.","idiom","Social","C1"
"cut to the chase","直接说重点","Let's cut to the chase - how much will this cost?","idiom","Work","C1"
"on the fence","犹豫不决","I'm still on the fence about which university to choose.","idiom","Daily Life","B2"
"call it a day","收工/到此为止","We've been practicing for 3 hours, let's call it a day.","idiom","Work","B1"
"hang out","一起玩/闲逛","Do you want to hang out this weekend?","phrasal verb","Social","A2"
"figure out","弄明白/解决","I need to figure out how to fix this bug.","phrasal verb","Tech","B1"
"wrap up","结束/完成","Let me wrap up this report and I'll join you.","phrasal verb","Work","B2"
"bring up","提起/提出","She brought up an interesting point during the meeting.","phrasal verb","Work","B1"
"overwhelmed","不知所措的","I felt overwhelmed by all the information.","adj.","Emotions","B2"
"legit","靠谱的/真的(俚语)","That restaurant is legit - best pizza in town.","adj. (slang)","Social","B1"
"awkward","尴尬的","There was an awkward silence after his joke.","adj.","Social","B1"
"procrastinate","拖延","I tend to procrastinate when I have a big project.","v.","Daily Life","B2"
"literally","字面上/简直(强调)","I was literally freezing in that cold room.","adv.","Daily Life","B1"
"vibe","氛围/感觉","This cafe has such a cozy vibe.","n. (slang)","Social","B1"
"low-key","低调地/有点","I'm low-key excited about the new season.","adv. (slang)","Social","B2"
"whatsoever","完全(用于强调否定)","I have no idea whatsoever what he's talking about.","adv.","Daily Life","C1"
